Event id,Event name,Taxon,Type,Level-Placed
882,F_Dorypyge kunshanensis,Dorypyge kunshanensis,0,1000
1507,F_Lingulella liui,Lingulella liui,0,1000
2672,F_Sinodiscus shipaiensis,Sinodiscus shipaiensis,0,1000
2898,F_Turutheca yichangensis,Turutheca yichangensis,0,1000
2897,F_Turutheca lubrica,Turutheca lubrica,0,1326.4693
3868,L_Dorypyge kunshanensis,Dorypyge kunshanensis,1,1326.4693
1266,F_Hunanocephalus ovalis,Hunanocephalus ovalis,0,1340.0201
5884,L_Turutheca yichangensis,Turutheca yichangensis,1,1340.0201
2673,F_Sinodiscus trisulatus,Sinodiscus trisulatus,0,1379.5786
4252,L_Hunanocephalus ovalis,Hunanocephalus ovalis,1,1379.5786
909,F_Duotingia taihuensis,Duotingia taihuensis,0,1388.8274
1274,F_Hupeidiscus orientalis,Hupeidiscus orientalis,0,1388.8274
2642,F_Shabaella jiangshanensis,Shabaella jiangshanensis,0,1388.8274
2641,F_Shabaella fengzuensis,Shabaella fengzuensis,0,1397.6985
4260,L_Hupeidiscus orientalis,Hupeidiscus orientalis,1,1397.6985
3895,L_Duotingia taihuensis,Duotingia taihuensis,1,1401.8868
5659,L_Sinodiscus trisulatus,Sinodiscus trisulatus,1,1401.8868
911,F_Dyadospora murusattenuata,Dyadospora murusattenuata,0,1401.9243
2650,F_Shizhudiscus gaotianyaensis,Shizhudiscus gaotianyaensis,0,1401.9243
2671,F_Sinodiscus kunshanensis,Sinodiscus kunshanensis,0,1407.5811
5628,L_Shabaella jiangshanensis,Shabaella jiangshanensis,1,1423.4592
594,F_Dactylofusa cabottii,Dactylofusa cabottii,0,1430.4601
1272,F_Hupeidiscus fengdongensis,Hupeidiscus fengdongensis,0,1430.4601
5883,L_Turutheca lubrica,Turutheca lubrica,1,1430.4601
5627,L_Shabaella fengzuensis,Shabaella fengzuensis,1,1439.7315
2890,F_Tsunyidiscus yanjiazhaiensis,Tsunyidiscus yanjiazhaiensis,0,1440.1873
2980,F_Zhenbaspis lata,Zhenbaspis lata,0,1440.1873
353,F_Chaoaspis ovatus,Chaoaspis ovatus,0,1513.2443
1203,F_Helosphaeridium clavispinulosum,Helosphaeridium clavispinulosum,0,1513.2443
1273,F_Hupeidiscus kunshanensis,Hupeidiscus kunshanensis,0,1513.2443
1398,F_Kunmingella szechuanensis,Kunmingella szechuanensis,0,1513.2443
1629,F_Mianxiandiscus emeiensis,Mianxiandiscus emeiensis,0,1513.2443
2826,F_Tetrahedraletes medinensis,Tetrahedraletes medinensis,0,1513.2443
182,F_Arthricocephalus (Arthricocephalites) granulus,Arthricocephalus (Arthricocephalites) granulus,0,1536.0791
352,F_Chaoaspis conicus,Chaoaspis conicus,0,1536.0791
5657,L_Sinodiscus kunshanensis,Sinodiscus kunshanensis,1,1542.0777
4258,L_Hupeidiscus fengdongensis,Hupeidiscus fengdongensis,1,1566.7678
4259,L_Hupeidiscus kunshanensis,Hupeidiscus kunshanensis,1,1566.7678
5876,L_Tsunyidiscus yanjiazhaiensis,Tsunyidiscus yanjiazhaiensis,1,1621.0878
5636,L_Shizhudiscus gaotianyaensis,Shizhudiscus gaotianyaensis,1,1622.2152
347,F_Changaspis placenta,Changaspis placenta,0,1630.2213
1966,F_Pachyredlichia shensiensis,Pachyredlichia shensiensis,0,1630.2213
1430,F_Leiofusa algerensis,Leiofusa algerensis,0,1631.4904
4615,L_Mianxiandiscus emeiensis,Mianxiandiscus emeiensis,1,1637.4099
39,F_Acrothele rara,Acrothele rara,0,1638.5043
3168,L_Arthricocephalus (Arthricocephalites) granulus,Arthricocephalus (Arthricocephalites) granulus,1,1651.9725
3333,L_Changaspis placenta,Changaspis placenta,1,1651.9725
3025,L_Acrothele rara,Acrothele rara,1,1652.2187
2491,F_Ptychagnostus atavus,Ptychagnostus atavus,0,1671.3092
1218,F_Hirsutodontus rarus,Hirsutodontus rarus,0,1671.5109
1854,F_Obolus luanhsiensis,Obolus luanhsiensis,0,1671.5109
38,F_Acrothele pentagonensis,Acrothele pentagonensis,0,1671.8433
2742,F_Strophomorpha ovata,Strophomorpha ovata,0,1671.8433
4952,L_Pachyredlichia shensiensis,Pachyredlichia shensiensis,1,1671.8433
2496,F_Ptychagnostus sinicus,Ptychagnostus sinicus,0,1692.7437
4384,L_Kunmingella szechuanensis,Kunmingella szechuanensis,1,1692.7437
540,F_Coscinocyathus liangshuijingensis,Coscinocyathus liangshuijingensis,0,1696.4397
575,F_Cymatiosphaera celtica,Cymatiosphaera celtica,0,1696.4397
5482,L_Ptychagnostus sinicus,Ptychagnostus sinicus,1,1715.7464
3024,L_Acrothele pentagonensis,Acrothele pentagonensis,1,1715.8877
5966,L_Zhenbaspis lata,Zhenbaspis lata,1,1720.0554
