,Step,HORSE penalty,CONOP penalty,Spearmans rho of horizon,Spearmans rho p-value of horizon,Kendalls tau of horizon,Kendalls tau p-value of horizon,Kruskal s^2 of horizon,Spearmans rho of event,Spearmans rho p-value of event,Kendalls tau of event,Kendalls tau p-value of event,Kruskal s^2 of event
0,1,29651.0,34921.0,0.6480518009620975,6.5108806842186554e-195,0.48044370385137647,7.80203746237561e-186,0.5106470084334794,0.660155250202879,4.628985012800124e-262,0.484107890229729,1.7307692574238972e-241,0.4968514892956363
1,2,28412.0,33806.0,0.6628315410263214,6.1151437309734226e-207,0.4993308332048162,1.4481105495481545e-200,0.48265913085484424,0.6763864301991017,7.248930133967752e-280,0.5039671980343693,1.577405994259424e-261,0.46650826252439864
2,3,27495.0,31875.0,0.6750835241545472,1.914334045319129e-217,0.5064159516725408,3.0793215062547424e-206,0.4752345593778211,0.715208488583521,0.0,0.5422355483255654,2.055168205493848e-302,0.41294199785659635
3,4,27213.0,31713.0,0.6616718139900845,5.688339823394683e-206,0.49743354410143953,4.636975492195635e-199,0.4870593786425043,0.6935254401324263,5.889261487270662e-300,0.5195113721466761,8.933712796761171e-278,0.444157593329918
4,5,26730.0,31387.0,0.6611434315425532,1.5661828739702986e-205,0.49677302870383255,1.5452149863254002e-198,0.48736252030100663,0.7115689993735912,1e-322,0.535953503725792,1.6956416023244377e-295,0.420570672931365
5,6,25709.0,30031.0,0.6897093091693088,1.1362372579859357e-230,0.5212090892335237,2.443330454431901e-218,0.45124607151057616,0.7526639440309811,0.0,0.5773308717228439,0.0,0.3618221269787067
6,7,24666.0,28711.0,0.6801857909755967,5.698036191104816e-222,0.5155728917860621,1.0946342045738216e-213,0.4601875156549204,0.7646367676337097,0.0,0.5957563737149013,0.0,0.3421245912588293
7,8,24666.0,28711.0,0.6801857909755967,5.698036191104816e-222,0.5155728917860621,1.0946342045738216e-213,0.4601875156549204,0.7646367676337097,0.0,0.5957563737149013,0.0,0.3421245912588293
8,9,24666.0,28711.0,0.6801857909755967,5.698036191104816e-222,0.5155728917860621,1.0946342045738216e-213,0.4601875156549204,0.7646367676337097,0.0,0.5957563737149013,0.0,0.3421245912588293
9,10,24240.0,28507.0,0.6827080550485553,3.0472858147737433e-224,0.5174957589344488,2.871374135693071e-215,0.4597835145914366,0.7549101514351444,0.0,0.5851646819246282,0.0,0.3555831108137077
10,11,23240.0,27296.0,0.7038412149925402,3.191448681050416e-244,0.5376136436301264,3.654734056249692e-232,0.4310195234336247,0.782536770837402,0.0,0.6167879640780437,0.0,0.3166355039864395
11,12,22884.0,26672.0,0.7046555360868378,4.995052067976912e-245,0.5373774228615061,5.820598118241208e-232,0.4310836954720264,0.7787874781927772,0.0,0.608912090695533,0.0,0.3239671459183102
12,13,22884.0,26672.0,0.7046555360868378,4.995052067976912e-245,0.5373774228615061,5.820598118241208e-232,0.4310836954720264,0.7787874781927772,0.0,0.608912090695533,0.0,0.3239671459183102
13,14,22884.0,26672.0,0.7046555360868378,4.995052067976912e-245,0.5373774228615061,5.820598118241208e-232,0.4310836954720264,0.7787874781927772,0.0,0.608912090695533,0.0,0.3239671459183102
14,15,22884.0,26672.0,0.7046555360868378,4.995052067976912e-245,0.5373774228615061,5.820598118241208e-232,0.4310836954720264,0.7787874781927772,0.0,0.608912090695533,0.0,0.3239671459183102
15,16,22884.0,26672.0,0.7046555360868378,4.995052067976912e-245,0.5373774228615061,5.820598118241208e-232,0.4310836954720264,0.7787874781927772,0.0,0.608912090695533,0.0,0.3239671459183102
16,17,22824.0,26640.0,0.7265056501812922,1.005109253868139e-267,0.5604127092791881,4.3512908630984354e-252,0.39867847723577315,0.7868209541584251,0.0,0.622442718634812,0.0,0.3078435773952004
17,18,22342.0,26190.0,0.7323575600492179,3.5056149047344183e-274,0.5613244913542446,6.677760035137548e-253,0.3952633691616253,0.8077107640170983,0.0,0.6415778081973824,0.0,0.28271383528136673
18,19,22296.0,26211.0,0.7212099328001035,5.042310244915183e-262,0.5537248028045574,3.7052842148456457e-246,0.40649156274101406,0.7925898666620544,0.0,0.6257099304768776,0.0,0.3019996443859043
19,20,22296.0,26211.0,0.7212099328001035,5.042310244915183e-262,0.5537248028045574,3.7052842148456457e-246,0.40649156274101406,0.7925898666620544,0.0,0.6257099304768776,0.0,0.3019996443859043
20,21,22136.0,25726.0,0.7219765439812936,7.68522267306955e-263,0.5615561983502161,4.1453904927205513e-253,0.3986410036520286,0.8069893833948254,0.0,0.6519335804087992,0.0,0.27581245012342753
21,22,22136.0,25726.0,0.7219765439812936,7.68522267306955e-263,0.5615561983502161,4.1453904927205513e-253,0.3986410036520286,0.8069893833948254,0.0,0.6519335804087992,0.0,0.27581245012342753
22,23,21399.0,25090.0,0.7307595821972382,2.1133588184960243e-272,0.566238485177899,2.599869239156198e-257,0.39261256354948376,0.8036870453585057,0.0,0.6451531785591166,0.0,0.2801267510236381
23,24,21399.0,25090.0,0.7307595821972382,2.1133588184960243e-272,0.566238485177899,2.599869239156198e-257,0.39261256354948376,0.8036870453585057,0.0,0.6451531785591166,0.0,0.2801267510236381
24,25,21210.0,24811.0,0.7257246762419126,7.100566312447358e-267,0.5619804929792027,1.7305042722598127e-253,0.40058427547146475,0.8043517338760673,0.0,0.6455482066911548,0.0,0.2830990516767614
25,26,21210.0,24811.0,0.7257246762419126,7.100566312447358e-267,0.5619804929792027,1.7305042722598127e-253,0.40058427547146475,0.8043517338760673,0.0,0.6455482066911548,0.0,0.2830990516767614
26,27,21009.0,24254.0,0.7423321153153855,1.3641369982087491e-285,0.5769722365367327,4.460081544047945e-267,0.377796819709495,0.8358227015987739,0.0,0.6767572579561134,0.0,0.24336729931488013
27,28,21009.0,24254.0,0.7423321153153855,1.3641369982087491e-285,0.5769722365367327,4.460081544047945e-267,0.377796819709495,0.8358227015987739,0.0,0.6767572579561134,0.0,0.24336729931488013
28,29,21009.0,24254.0,0.7423321153153855,1.3641369982087491e-285,0.5769722365367327,4.460081544047945e-267,0.377796819709495,0.8358227015987739,0.0,0.6767572579561134,0.0,0.24336729931488013
29,30,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
30,31,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
31,32,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
32,33,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
33,34,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
34,35,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
35,36,19183.0,22518.0,0.7492601561544073,7.823552699055902e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330372625497284,0.0,0.6841210578341302,0.0,0.23952362707740396
36,37,18617.0,22137.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411526769168685,0.0,0.6885559801498363,0.0,0.23338848408355345
37,38,18617.0,22137.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411526769168685,0.0,0.6885559801498363,0.0,0.23338848408355345
38,39,18617.0,22137.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411526769168685,0.0,0.6885559801498363,0.0,0.23338848408355345
